objectid,park,park_no,bldg_id,bldg_name,category,bldg_type,field_house_class,status,year_built,stories,building_sqft,owner,address,ward,community,lat,lon,provenance,source
183,DOUGLASS (ANNA & FREDERICK),218,0218-06,,other,MAINTENANCE,,ACTIVE,,,,CPD,1401 S SACRAMENTO AVE,12,NORTH LAWNDALE,41.856273,-87.696591,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
184,DUNHAM (ROBERT),258,0258-01,Dunham Park Fieldhouse,field_house,FIELDHOUSE B,B,ACTIVE,1976,1,14338,CPD,4630 N MELVINA AVE,38,PORTAGE PARK,41.965909,-87.782522,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
185,DUNHAM (ROBERT),258,0258-02,Comfort Station,other,COMFORT STATION,,ACTIVE,,,,CPD,,38,PORTAGE PARK,41.96545,-87.783314,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
186,DVORAK (ANTON),216,0216-01,Dressing Facility,pool,POOL BUILDING,,ACTIVE,1941,1,1260,CPD,2039 S MAY ST,25,LOWER WEST SIDE,41.854093,-87.654353,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
187,DVORAK (ANTON),216,0216-02,Filter Building,pool,POOL BUILDING,,ACTIVE,1950,1,823,CPD,,25,LOWER WEST SIDE,41.853967,-87.653699,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
188,DVORAK (ANTON),216,0216-03,Dvorak Park Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1908,2,26815,CPD,1119 W CULLERTON ST,25,LOWER WEST SIDE,41.855026,-87.653937,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
189,ECKHART (BERNARD),208,0208-01,Ida Crown Natatorium,pool,POOL BUILDING,,ACTIVE,,1,,CPD,1360 W CHICAGO AVE,27,WEST TOWN,41.89657,-87.661974,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
190,ECKHART (BERNARD),208,0208-02,Eckhart Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1908,2,47557,CPD,1330 W CHICAGO AVE,27,WEST TOWN,41.896603,-87.661418,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
191,WHITE (WILLYE B.),1043,1043-01,Willye White Park Fieldhouse,field_house,FIELDHOUSE A4,A4,ACTIVE,2008,2,,CPD,7631 N ASHLAND AVE,49,ROGERS PARK,42.019623,-87.671505,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
192,CHICAGO WOMEN'S PARK AND GARDENS,550,0550-01,Clarke House Museum,museum,MUSEUM,,ACTIVE,1836,2,,CITY,1827 S INDIANA AVE,3,NEAR SOUTH SIDE,41.857067,-87.62188,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
193,EMMERSON (LOUIS),104,0104-01,Emmerson Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1931,1,1716,CPD,1820 W GRANVILLE,40,WEST RIDGE,41.994741,-87.67636,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
194,EUCLID,66,0066-01,Euclid Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1979,1,1515,CPD,9800 S PARNELL AVE,34,WASHINGTON HEIGHTS,41.716076,-87.637406,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
195,FERNWOOD,65,0065-01,Fernwood Park Fieldhouse,field_house,FIELDHOUSE A4,A4,ACTIVE,1987,1,17136,CPD,10436 S WALLACE ST,34,ROSELAND,41.704148,-87.638537,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
