objectid,park,cpd_bldg_name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
735,MCKINLEY (WILLIAM),Filter Room,largest_nearby,41.822498,-87.682133,124,68.9,426359,2245 W PERSHING RD,,1,64604,5,sourced,socrata_syp8-uezg@2026-09-14
736,CLARK (RICHARD),Kerry Wood Cubs Field,largest_nearby,41.945493,-87.693017,154.7,152.1,185410,,,0,120.2,1,sourced,socrata_syp8-uezg@2026-09-14
737,ELLIS (SAMUEL),Arts & Recreation Center at Ellis Park,largest_nearby,41.831455,-87.610235,110.6,90.7,416754,600 E 35TH ST,,1,12896.5,4,sourced,socrata_syp8-uezg@2026-09-14
738,MANDRAKE (HENRY BROWN),Abraham Lincoln Centre,address_exact,41.82426,-87.607592,30.9,1.6,424012,3858 S COTTAGE GROVE AVE,,0,19599.2,26,sourced,socrata_syp8-uezg@2026-09-14
739,PARK NO. 571,Eleanor Boat House,largest_nearby,41.843029,-87.662693,121.4,111.8,836826,,,0,2494.4,49,sourced,socrata_syp8-uezg@2026-09-14
740,HOMAN SQUARE COMM. CTR.,Homan Square Community Center,address_exact,41.869233,-87.714094,11,0,830970,3517-3559 W ARTHINGTON ST,,0,71553.9,41,sourced,socrata_syp8-uezg@2026-09-14
741,LINCOLN (ABRAHAM),Lincoln Park Tennis Club,largest_nearby,41.933674,-87.634399,76.9,52.1,233728,,LINCOLN PARK,0,6458.4,12,sourced,socrata_syp8-uezg@2026-09-14
742,LIN (MARGARET HIE DING),Lin Park Shelter,largest_nearby,41.859211,-87.626087,116.6,82.9,376118,1624-1636 S WABASH AVE,,2,26048,12,sourced,socrata_syp8-uezg@2026-09-14
743,LINCOLN (ABRAHAM),Webster Concession,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
744,ROSENBLUM (J. LESLIE),South Shore International College Prep HS,largest_nearby,41.758706,-87.575756,107,87.9,593904,2011 E 75TH ST,,1,11433.2,52,sourced,socrata_syp8-uezg@2026-09-14
745,"MADIGAN (MICHAEL J., Sr.)",Azuela Elementary School,address_exact,41.77064,-87.739833,49.1,23,891534,4707 W MARQUETTE RD,AZUELA SCHOOL,0,53183.1,108,sourced,socrata_syp8-uezg@2026-09-14
746,LINCOLN (ABRAHAM),Fullerton Pump House,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
748,BIG MARSH,Ford Calumet Environmental Cener,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
749,GATELY (JAMES),Gately Track & Field Center,largest_nearby,41.710638,-87.605316,108,85.4,722540,10101-10117 S COTTAGE GROVE AVE,,2,5119.8,5,sourced,socrata_syp8-uezg@2026-09-14
750,ADDAMS (JANE),ComEd Recreation Center,largest_nearby,41.861244,-87.663256,95.2,55.1,375170,1501 S LAFLIN ST,,0,32198,4,sourced,socrata_syp8-uezg@2026-09-14
751,LEVIN (JOHN),Levin Park Fieldhouse,address_exact,41.887957,-87.762826,2.9,0,352237,5458 W KINZIE ST,,1,1328.2,38,sourced,socrata_syp8-uezg@2026-09-14
