name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
North Pulaski,library_named,41.910182,-87.734204,48,3.7,307411,1600-1610 N KILDARE AVE,NORTH PULASKI,1,10232.2,103,sourced,socrata_syp8-uezg@2026-09-13
Northtown,address_exact,42.005304,-87.690459,32.2,8,841655,6800-6810 N WESTERN AVE,,1,13986.8,82,sourced,socrata_syp8-uezg@2026-09-13
Obama Presidential Center Library,largest_nearby,41.78528,-87.586936,96.4,86.3,511358,6018-6024 S STONY ISLAND AVE,,0,11047.8,3,sourced,socrata_syp8-uezg@2026-09-13
Oriole Park,address_exact,41.978388,-87.81386,42.8,15.1,825826,7454 W BALMORAL AVE,ORIOLE PARK,1,14859.2,98,sourced,socrata_syp8-uezg@2026-09-13
Portage-Cragin,address_exact,41.938949,-87.754972,27.9,0.1,847854,5108-5114 W BELMONT AVE,PORTAGE-CRAGIN BRANCH LIBRARY,1,12619.2,143,sourced,socrata_syp8-uezg@2026-09-13
Pullman,address_exact,41.694369,-87.617965,14.7,2.7,763787,11001 S INDIANA AVE,PULLMAN CPL BRANCH,1,6390,62,sourced,socrata_syp8-uezg@2026-09-13
Roden,address_exact,41.992106,-87.798026,19.2,1.5,39726,6083 N NORTHWEST HWY,RODEN,1,11076.9,43,sourced,socrata_syp8-uezg@2026-09-13
Rogers Park,library_named,42.006816,-87.673141,13.9,0,815680,6909-6919 N CLARK ST,ROGERS PARK,3,16952.2,68,sourced,socrata_syp8-uezg@2026-09-13
Scottsdale,address_exact,41.74917,-87.724563,18.1,0,621774,4101 W 79TH ST,SCOTTSDALE,1,10625.1,139,sourced,socrata_syp8-uezg@2026-09-13
Sherman Park,address_exact,41.794873,-87.655139,14.8,0.3,481435,5440 S RACINE AVE,SHERMAN PARK,0,5671.4,62,sourced,socrata_syp8-uezg@2026-09-13
