sid,school_year,grade_category,enrollment_profile,enrollment_20th_day,enrollment_utilization,homerooms,ideal_capacity,adj_ideal_capacity,su_pct,cps_status,classrooms_supply,classrooms_modular,classrooms_leased,classrooms_demand,source
610362,SY2026,ES,218,216,194,15,504,420,0.46,Underutilized,24,0,0,20,cps_space_utilization_sy2026@2026-09-09
610363,SY2026,ES,1323,1319,1259,58,1848,1624,0.78,Efficient,86,0,0,76,cps_space_utilization_sy2026@2026-09-09
610364,SY2026,ES,193,194,183,9,308,252,0.73,Efficient,15,0,0,12,cps_space_utilization_sy2026@2026-09-09
610366,SY2026,ES,207,192,180,8,280,224,0.8,Efficient,13,0,0,11,cps_space_utilization_sy2026@2026-09-09
610367,SY2026,ES,313,387,297,20,784,560,0.53,Underutilized,37,0,0,26,cps_space_utilization_sy2026@2026-09-09
610368,SY2026,ES,373,413,309,18,672,504,0.61,Underutilized,31.5,0,0,24,cps_space_utilization_sy2026@2026-09-09
610369,SY2026,ES,287,312,240,18,700,504,0.48,Underutilized,33,0,0,24,cps_space_utilization_sy2026@2026-09-09
610380,SY2026,HS,77,83,83,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
610381,SY2026,HS,116,114,105,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
610383,SY2026,HS,165,216,216,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
610384,SY2026,HS,388,392,392,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
610385,SY2026,HS,193,243,243,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
610389,SY2026,HS,187,276,276,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
610390,SY2026,HS,578,571,571,21.6,672,648,0.88,Efficient,28,0,0,27,cps_space_utilization_sy2026@2026-09-09
610391,SY2026,HS,1221,1268,1220,43.2,1488,1296,0.94,Efficient,62,0,0,54,cps_space_utilization_sy2026@2026-09-09
610392,SY2026,HS,330,361,361,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
610394,SY2026,HS,210,236,208,25.6,960,768,0.27,Underutilized,40,0,0,32,cps_space_utilization_sy2026@2026-09-09
610396,SY2026,ES,702,717,702,30,896,840,0.84,Efficient,42.5,0,0,39,cps_space_utilization_sy2026@2026-09-09
610405,SY2026,ES,474,476,369,19,784,532,0.69,Underutilized,37,0,0,25,cps_space_utilization_sy2026@2026-09-09
610499,SY2026,HS,211,199,199,22.4,732,672,0.3,Underutilized,30.5,0,0,28,cps_space_utilization_sy2026@2026-09-09
610503,SY2026,ES,106,111,111,25,840,700,0.16,Underutilized,40,0,0,33,cps_space_utilization_sy2026@2026-09-09
610513,SY2026,HS,145,155,155,23.2,768,696,0.22,Underutilized,32,0,0,29,cps_space_utilization_sy2026@2026-09-09
610515,SY2026,ES,421,424,385,14,448,392,0.98,Efficient,22,0,0,19,cps_space_utilization_sy2026@2026-09-09
610518,SY2026,HS,106,140,140,57.6,1908,1728,0.08,Underutilized,79.5,0,0,72,cps_space_utilization_sy2026@2026-09-09
610520,SY2026,ES,584,593,492,27,924,756,0.65,Underutilized,43,0,0,36,cps_space_utilization_sy2026@2026-09-09
610521,SY2026,ES,117,119,96,14,532,392,0.24,Underutilized,25.5,0,0,19,cps_space_utilization_sy2026@2026-09-09
610523,SY2026,ES,427,413,376,16,532,448,0.84,Efficient,25.5,0,0,21,cps_space_utilization_sy2026@2026-09-09
